name,lat,lon
I10-1, 34.06462394572161, -117.1990694333547
I10-2, 34.066099313578306, -117.20224516868774
I10-3, 34.06655258408665, -117.2058500574442
I210-1, 34.06752133061811, -117.20096843718905
I210-2, 34.06896998589102, -117.20059292794357
I210-3, 34.07104072005105, -117.20061438561474
